"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"A","Agilent Technologies, Inc.","76.64","0.8","23,717","22.7","19.0","1.11"
"AAL","American Airlines Group, Inc.","30.76","1.3","13,474","8.7","11.3","1.45"
"AAP","Advance Auto Parts, Inc.","167.40","0.1","11,950","27.8","4.0","0.67"
"AAPL","Apple, Inc.","260.14","1.2","1,155,872","21.8","25.1","1.54"
"ABBV","AbbVie, Inc.","85.21","5.0","125,981","39.1","196.3","0.86"
"ABC","AmerisourceBergen Corp.","86.07","1.8","17,930","19.1","35.0","0.75"
"ABMD","ABIOMED, Inc.","219.62","0.0","9,916","44.9","0.0","1.49"
"ABT","Abbott Laboratories","83.74","1.5","148,002","45.1","68.9","1.07"
"ACN","Accenture Plc","189.70","1.5","120,471","25.3","39.0","0.99"
"ADBE","Adobe, Inc.","292.46","0.0","141,573","51.3","0.0","1.50"
"ADI","Analog Devices, Inc.","113.02","1.8","41,750","27.6","49.9","1.32"
"ADM","Archer-Daniels-Midland Co.","43.31","3.2","24,110","20.5","65.5","0.79"
"ADP","Automatic Data Processing, Inc.","162.73","1.9","70,527","29.8","57.8","1.03"
"ADS","Alliance Data Systems Corp.","107.90","2.3","5,513","-56.7","-129.3","1.26"
"ADSK","Autodesk, Inc.","152.96","0.0","33,588","592.9","0.0","1.55"
"AEE","Ameren Corp.","73.81","2.6","18,142","22.7","58.0","0.27"
"AEP","American Electric Power Co., Inc.","89.07","3.0","43,996","20.6","62.1","0.18"
"AES","The AES Corp.","17.64","3.1","11,710","23.0","71.3","0.69"
"AFL","Aflac, Inc.","54.14","2.0","39,739","13.3","26.3","0.70"
"AGN","Allergan Plc","181.28","1.6","59,477","-6.5","-10.6","0.69"
"AIG","American International Group, Inc.","55.91","2.3","48,639","27.3","62.5","0.94"
"AIV","Apartment Investment & Management Co.","53.17","3.0","7,893","22.8","67.5","0.44"
"AIZ","Assurant, Inc.","130.07","1.8","7,951","31.2","57.6","0.76"
"AJG","Arthur J. Gallagher & Co.","91.15","1.9","17,001","24.5","45.7","0.77"
"AKAM","Akamai Technologies, Inc.","84.53","0.0","13,693","30.3","0.0","1.10"
"ALB","Albemarle Corp.","67.98","2.1","7,204","12.6","26.6","1.45"
"ALGN","Align Technology, Inc.","259.92","0.0","20,485","49.5","0.0","1.64"
"ALK","Alaska Air Group, Inc.","71.17","1.9","8,773","14.4","27.7","0.94"
"ALL","The Allstate Corp.","108.19","1.8","35,048","13.4","24.3","0.72"
"ALLE","Allegion Plc","115.65","0.9","10,745","24.0","21.1","0.88"
"ALXN","Alexion Pharmaceuticals, Inc.","110.79","0.0","24,516","16.9","0.0","1.31"
"AMAT","Applied Materials, Inc.","56.03","1.5","51,757","18.5","27.0","1.53"
"AMCR","Amcor Plc","9.77","2.4","15,778","17.1","41.1","0.03"
"AMD","Advanced Micro Devices, Inc.","36.29","0.0","40,413","183.7","0.0","2.41"
"AME","AMETEK, Inc.","96.54","0.6","22,068","25.8","15.0","1.11"
"AMG","Affiliated Managers Group, Inc.","86.86","1.5","4,279","-29.7","-43.1","1.32"
"AMGN","Amgen, Inc.","221.11","2.6","131,380","16.9","43.2","0.73"
"AMP","Ameriprise Financial, Inc.","158.54","2.4","20,705","11.0","26.0","1.46"
"AMT","American Tower Corp.","205.87","1.8","91,188","56.8","99.6","0.24"
"AMZN","Amazon.com, Inc.","1,785.88","0.0","885,433","77.4","0.0","1.55"
"ANET","Arista Networks, Inc.","192.61","0.0","14,715","19.1","0.0","1.51"
"ANSS","ANSYS, Inc.","224.31","0.0","18,864","42.9","0.0","1.36"
"ANTM","Anthem, Inc.","282.09","1.1","71,527","16.8","18.8","0.82"
"AON","Aon Plc","194.57","0.9","45,556","32.8","28.3","0.80"
"AOS","A. O. Smith Corp.","52.08","1.7","7,205","21.5","36.3","0.90"
"APA","Apache Corp.","24.43","4.1","9,186","-9.7","-39.5","1.44"
"APD","Air Products & Chemicals, Inc.","233.87","1.9","51,534","30.1","58.2","0.82"
"APH","Amphenol Corp.","102.70","0.9","30,449","26.0","23.8","1.13"
"APTV","Aptiv Plc","96.88","0.9","24,732","24.9","22.6","1.29"
"ARE","Alexandria Real Estate Equities, Inc.","153.91","2.6","17,722","145.9","373.6","0.57"
"ARNC","Arconic, Inc.","28.97","0.6","12,752","36.7","20.3","1.13"
"ATO","Atmos Energy Corp.","107.32","2.0","12,685","24.5","47.9","0.29"
"ATVI","Activision Blizzard, Inc.","54.30","0.6","41,649","24.6","15.4","1.15"
"AVB","AvalonBay Communities, Inc.","209.85","2.9","29,307","29.1","83.5","0.41"
"AVGO","Broadcom, Inc.","313.41","3.4","124,615","42.3","142.9","1.27"
"AVY","Avery Dennison Corp.","133.83","1.6","11,175","47.6","78.3","0.96"
"AWK","American Water Works Co., Inc.","116.30","1.7","21,024","33.2","55.8","0.24"
"AXP","American Express Co.","121.47","1.3","99,395","14.7","19.3","1.08"
"AZO","AutoZone, Inc.","1,165.86","0.0","27,778","18.0","0.0","0.43"
"BA","The Boeing Co.","351.00","2.2","197,539","52.8","118.5","1.13"
"BAC","Bank of America Corp.","33.26","1.9","299,177","12.2","23.0","1.17"
"BAX","Baxter International, Inc.","78.51","1.0","40,083","25.9","26.1","0.90"
"BBT","BB&T Corp.","54.94","3.0","42,100","13.7","41.4","0.86"
"BBY","Best Buy Co., Inc.","76.85","2.5","20,255","13.7","33.8","1.26"
"BDX","Becton, Dickinson & Co.","244.79","1.3","66,082","61.8","77.7","1.00"
"BEN","Franklin Resources, Inc.","28.28","3.7","14,120","12.0","44.1","1.05"
"BF-B","Brown-Forman Corp.","64.50","1.0","30,801","37.6","38.2","0.73"
"BHGE","Baker Hughes, a GE Co.","21.77","3.3","22,348","62.2","205.7","1.03"
"BIIB","Biogen, Inc.","293.25","0.0","52,914","10.4","0.0","0.74"
"BK","The Bank of New York Mellon Corp.","49.20","2.3","45,372","12.7","29.7","0.78"
"BKNG","Booking Holdings, Inc.","1,879.19","0.0","79,887","20.6","0.0","1.09"
"BLK","BlackRock, Inc.","490.21","2.7","76,067","18.7","49.8","1.20"
"BLL","Ball Corp.","64.65","0.8","21,148","38.8","30.0","0.68"
"BMY","Bristol-Myers Squibb Co.","58.02","2.8","94,531","16.7","47.1","0.81"
"BR","Broadridge Financial Solutions, Inc.","119.58","1.7","13,686","29.9","49.9","0.91"
"BRK.B","Berkshire Hathaway, Inc.","221.31","0.0","541,195","20.1","0.0","0.91"
"BSX","Boston Scientific Corp.","40.51","0.0","56,429","51.2","0.0","1.23"
"BWA","BorgWarner, Inc.","46.31","1.5","9,562","12.6","18.6","1.32"
"BXP","Boston Properties, Inc.","138.34","2.7","21,383","41.3","113.4","0.67"
"C","Citigroup, Inc.","76.12","2.4","166,184","10.1","24.6","1.33"
"CAG","Conagra Brands, Inc.","27.44","3.1","13,353","19.2","59.5","0.84"
"CAH","Cardinal Health, Inc.","53.75","3.6","15,716","11.9","42.2","0.89"
"CAT","Caterpillar, Inc.","148.16","2.4","81,881","13.9","34.0","1.39"
"CB","Chubb Ltd.","151.51","2.0","68,664","19.0","37.2","0.63"
"CBOE","Cboe Global Markets, Inc.","114.88","1.1","12,735","30.1","33.8","0.32"
